test;variables_used;mse;r_squared;aic
3442;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x5_squared, x6_squared;23.178592612113587;0.9601796045219783;5999.1061868656725
2642;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x5_squared;23.231401827612473;0.9600888792617677;5999.381956941863
3386;x1, x1_squared, x2, x3, x3_squared, x4_squared, x5_squared, x6_squared;23.18881057174776;0.9601620502554005;5999.546925794228
2572;x1, x1_squared, x2, x3, x3_squared, x4_squared, x5_squared;23.238896329540385;0.9600760038454008;5999.704507142317
3811;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4_squared, x5_squared, x6_squared;23.152005101716618;0.9602252813754655;5999.95845665594
3885;x1, x1_squared, x2_squared, x3, x3_squared, x4, x4_squared, x5_squared, x6_squared;23.15303603935115;0.960223510243585;6000.002984750907
3429;x1, x1_squared, x2_squared, x3, x3_squared, x4, x4_squared, x5_squared;23.20309444966023;0.9601375108160587;6000.162717637967
3308;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4_squared, x5_squared;23.20357987110169;0.9601366768709569;6000.183637966717
3857;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5_squared, x6_squared;23.164299131658087;0.9602041604583124;6000.489329333874
3373;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5_squared;23.21176297780511;0.9601226184442604;6000.536241493306
2902;x1, x2_squared, x3, x3_squared, x4_squared, x5_squared, x6_squared;23.261055577071843;0.9600379346660091;6000.657594115541
1928;x1, x2_squared, x3, x3_squared, x4_squared, x5_squared;23.309038341205632;0.9599555011604071;6000.718263402458
4021;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5_squared, x6_squared;23.126972148143153;0.9602682875289434;6000.876628253391
3892;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x5, x5_squared, x6_squared;23.174596193488203;0.9601864702956179;6000.933753480256
3798;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5_squared;23.175869045041868;0.960184283560077;6000.988676404868
3894;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x5_squared, x6, x6_squared;23.178452935090874;0.9601798444845324;6001.100160725695
1858;x1, x2, x3, x3_squared, x4_squared, x5_squared;23.31931175864597;0.9599378516183391;6001.158914533565
2846;x1, x2, x3, x3_squared, x4_squared, x5_squared, x6_squared;23.273992468166387;0.9600157093252275;6001.2136004794
3438;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x5, x5_squared;23.228851246238825;0.9600932611136211;6001.272160666231
2889;x1, x2_squared, x3, x3_squared, x4, x4_squared, x5_squared;23.27592286404808;0.960012392940634;6001.296539228871
3600;x1, x2_squared, x3, x3_squared, x4, x4_squared, x5_squared, x6_squared;23.2306331860606;0.960090199773806;6001.348870076351
3864;x1, x1_squared, x2, x3, x3_squared, x4_squared, x5, x5_squared, x6_squared;23.184570113532523;0.9601693352845636;6001.364042503668
3441;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x5_squared, x6;23.23127743788169;0.9600890929610356;6001.376602548497
3866;x1, x1_squared, x2, x3, x3_squared, x4_squared, x5_squared, x6, x6_squared;23.188152267879154;0.9601631812093299;6001.518536532476
3526;x1, x2, x2_squared, x3, x3_squared, x4_squared, x5_squared, x6_squared;23.235949818918343;0.9600810658964154;6001.577706910786
3382;x1, x1_squared, x2, x3, x3_squared, x4_squared, x5, x5_squared;23.236117296640245;0.9600807781727718;6001.5849145833645
2768;x1, x2, x2_squared, x3, x3_squared, x4_squared, x5_squared;23.282746254748258;0.9600006704810037;6001.589648584364
