test;variables_used;mse;r_squared;aic
2852;x1, x2, x3, x4, x4_squared, x5, x5_squared;6.315973816884959e-26;1.0;-5502.625340057273
3583;x1, x2, x3, x4, x4_squared, x5, x5_squared, x6;8.448703450360657e-26;1.0;-5471.532235966669
3933;x1, x2, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6_squared;1.2389193045128067e-25;1.0;-5431.251078744543
4063;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;1.9814889051823633e-25;1.0;-5382.290172401055
3932;x1, x2, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6;2.6574717034753005e-25;1.0;-5354.937507506309
3946;x1, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;2.9187844026846575e-25;1.0;-5345.5583029289155
3917;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared;3.02463786102392e-25;1.0;-5341.995888948944
3532;x1, x2, x2_squared, x3, x4, x4_squared, x5, x5_squared;4.677798755376591e-25;1.0;-5300.392261057742
3584;x1, x2, x3, x4, x4_squared, x5, x5_squared, x6_squared;5.928951399263203e-25;1.0;-5276.690289087224
4068;x1, x2, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6, x6_squared;8.306031644764196e-25;1.0;-5238.976830337242
4084;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;1.0073558437712188e-24;1.0;-5217.68362439519
3945;x1, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6;1.0957695754255259e-24;1.0;-5213.270824042582
3951;x1, x2, x3, x4, x4_squared, x5, x5_squared, x6, x6_squared;1.5290170648371351e-24;1.0;-5179.954007778016
3568;x1, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared;1.687385119854705e-24;1.0;-5172.098510112369
4093;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;1.6190928633098706e-24;1.0;-5170.229913395996
4062;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6;1.8465641238828427e-24;1.0;-5159.083848348173
4070;x1, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;1.9860701991122163e-24;1.0;-5151.800725346446
4095;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;3.5957970115577065e-24;1.0;-5088.439949883051
4091;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;1.0371446041703394e-23;1.0;-4984.510870821197
3392;x1, x1_squared, x2, x3, x4, x4_squared, x5, x5_squared;1.3485676886771616e-23;1.0;-4964.253701458213
4083;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6;2.6276700404672142e-23;1.0;-4891.548253509185
3817;x1, x1_squared, x2, x2_squared, x3, x4, x4_squared, x5, x5_squared;4.139893099135641e-23;1.0;-4850.0910106414685
3868;x1, x1_squared, x2, x3, x4, x4_squared, x5, x5_squared, x6;5.700013112997453e-23;1.0;-4818.111159708998
4051;x1, x1_squared, x2, x3, x4, x4_squared, x5, x5_squared, x6, x6_squared;6.963131486239827e-23;1.0;-4796.095077310993
4032;x1, x1_squared, x2, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6;1.052611562334103e-22;1.0;-4754.7720701035505
4017;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared;1.3063404670828497e-22;1.0;-4733.176528802992
3853;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared;1.5321956697297408e-22;1.0;-4719.229319454128
3869;x1, x1_squared, x2, x3, x4, x4_squared, x5, x5_squared, x6_squared;1.6505250172431596e-22;1.0;-4711.790154989101
4046;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;1.6791315058082826e-22;1.0;-4708.0718280543215
4033;x1, x1_squared, x2, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6_squared;2.695370756409406e-22;1.0;-4660.745921260931
4045;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6;3.9801068091567366e-22;1.0;-4621.7686324051865
4089;x1, x1_squared, x2, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6, x6_squared;7.642187290295786e-22;1.0;-4554.531112271436
3590;x1, x2, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;0.019997930336478023;0.9999637821793352;-89.42494275496531
3952;x1, x2, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;0.019605639312561644;0.9999644926491545;-89.40609676911347
3875;x1, x1_squared, x2, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;0.019879247235054725;0.9999639971237425;-88.02018775011808
4052;x1, x1_squared, x2, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;0.019522825076459856;0.9999646426322328;-87.82939147821705
3939;x1, x2, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;0.019966646520004495;0.9999638388367811;-87.58150051348068
4069;x1, x2, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;0.01957446450498193;0.9999645491091766;-87.56523271374434
4039;x1, x1_squared, x2, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;0.0198420578387863;0.9999640644766566;-86.20743943817709
4090;x1, x1_squared, x2, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;0.019486721585563412;0.9999647080184871;-86.0144923281064
2867;x1, x2, x3_squared, x4, x4_squared, x5, x5_squared;0.021279975104640553;0.9999614602956844;-85.21117179947433
3547;x1, x2, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared;0.021197565409587504;0.9999616095461071;-83.59918766597477
3407;x1, x1_squared, x2, x3_squared, x4, x4_squared, x5, x5_squared;0.02120311781560803;0.9999615994902643;-83.57299749341192
3589;x1, x2, x3_squared, x4, x4_squared, x5, x5_squared, x6;0.02126023143541145;0.9999614960530183;-83.30399537628577
3832;x1, x1_squared, x2, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared;0.02111210893430907;0.9999617643144879;-82.00314535561174
3938;x1, x2, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared, x6;0.02117465531090895;0.9999616510380932;-81.70732502824436
3874;x1, x1_squared, x2, x3_squared, x4, x4_squared, x5, x5_squared, x6;0.021190745090108896;0.9999616218982408;-81.6313678564899
4038;x1, x1_squared, x2, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared, x6;0.02109747171302674;0.9999617908236439;-80.07250032974119
3062;x1_squared, x2, x3, x4, x4_squared, x5, x5_squared;0.07246558784236881;0.9998687591355363;37.32335861555694
3703;x1_squared, x2, x3, x4, x4_squared, x5, x5_squared, x6;0.07170508712975099;0.9998701364619876;38.26834827216683
3688;x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared;0.07214928877006517;0.9998693319779697;38.88592149417465
3704;x1_squared, x2, x3, x4, x4_squared, x5, x5_squared, x6_squared;0.07226148020501645;0.9998691287904797;39.04129973683476
3652;x1_squared, x2, x2_squared, x3, x4, x4_squared, x5, x5_squared;0.072338684197595;0.9998689889679925;39.14808246454956
3990;x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6;0.0714099435120141;0.9998706709902332;39.855891195044165
3977;x1_squared, x2, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6;0.07159976870920039;0.9998703272019095;40.12136310701604
3996;x1_squared, x2, x3, x4, x4_squared, x5, x5_squared, x6, x6_squared;0.07168957137424518;0.9998701645622381;40.246707639624134
3991;x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;0.0717677618757127;0.9998700229531059;40.355716370567194
3962;x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared;0.07199094050162079;0.9998696187591062;40.66620721600842
3978;x1_squared, x2, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6_squared;0.07216385161053067;0.9998693056035232;40.906103773455044
4072;x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6;0.07127653369889533;0.9998709126058707;41.668894004277234
4080;x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;0.07132349048886322;0.9998708275634404;41.73475204593265
4078;x1_squared, x2, x2_squared, x3, x4, x4_squared, x5, x5_squared, x6, x6_squared;0.07159081795785212;0.9998703434124223;42.108861235813066
4073;x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;0.07164750956327634;0.9998702407394775;42.188018273409824
4094;x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;0.0712051990606597;0.9998710417984967;43.568762369415396
3077;x1_squared, x2, x3_squared, x4, x4_squared, x5, x5_squared;0.0988520423439458;0.9998209711964327;68.37459978718323
3709;x1_squared, x2, x3_squared, x4, x4_squared, x5, x5_squared, x6;0.09781588742213092;0.9998228477542819;69.32087993537678
3710;x1_squared, x2, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;0.09840376119103855;0.999821783068768;69.92008142410813
3997;x1_squared, x2, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;0.09649056407622775;0.9998252480188321;69.95670093977222
3667;x1_squared, x2, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared;0.09884657744405356;0.9998209810937951;70.36907127120324
3983;x1_squared, x2, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared, x6;0.09781451877241158;0.9998228502330139;71.3194807155459
3984;x1_squared, x2, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;0.0983842087291245;0.9998218184798104;71.90020982119836
4079;x1_squared, x2, x2_squared, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;0.09647046904358614;0.9998252844125126;71.9358728664671
2853;x1, x2, x3, x4, x4_squared, x5, x6;0.7239205966621999;0.9986889230083156;267.480350067988
1867;x1, x2, x3, x4, x4_squared, x5;0.7423113384650535;0.9986556159321682;267.98905362084736
3569;x1, x2, x3, x3_squared, x4, x4_squared, x5, x6;0.7173846502200378;0.9987007601200634;268.5733955892857
2832;x1, x2, x3, x3_squared, x4, x4_squared, x5;0.7359243737499535;0.9986671832263208;269.1249147819499
3533;x1, x2, x2_squared, x3, x4, x4_squared, x5, x6;0.7221256578717902;0.9986921737832769;269.23209525502625
3393;x1, x1_squared, x2, x3, x4, x4_squared, x5, x6;0.7229513253108004;0.9986906784347718;269.34636840980875
3585;x1, x2, x3, x4, x4_squared, x5, x6, x6_squared;0.723812562434288;0.9986891186667776;269.46542546293443
2777;x1, x2, x2_squared, x3, x4, x4_squared, x5;0.7399522840019092;0.9986598883648673;269.6707490467928
2581;x1, x1_squared, x2, x3, x4, x4_squared, x5;0.7401537440561071;0.9986595235049047;269.6979714283822
2854;x1, x2, x3, x4, x4_squared, x5, x6_squared;0.7404423244292055;0.9986590008632101;269.736953076773
3918;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x6;0.7160718096231412;0.998703137777376;270.3902242128621
3854;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x6;0.7161186424192018;0.9987030529595082;270.3967642363639
3947;x1, x2, x3, x3_squared, x4, x4_squared, x5, x6, x6_squared;0.7161587663363794;0.9987029802919465;270.4023670500287
3372;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5;0.7333330571976814;0.9986718763038841;270.7721761556819
3512;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5;0.7341132374394695;0.9986704633362615;270.87850785833405
3570;x1, x2, x3, x3_squared, x4, x4_squared, x5, x6_squared;0.7353876146153755;0.9986681553392218;271.05195144546724
3818;x1, x1_squared, x2, x2_squared, x3, x4, x4_squared, x5, x6;0.721278378625504;0.9986937082724605;271.1146950923306
3934;x1, x2, x2_squared, x3, x4, x4_squared, x5, x6, x6_squared;0.7219182999360112;0.9986925493247657;271.20337619338227
3870;x1, x1_squared, x2, x3, x4, x4_squared, x5, x6, x6_squared;0.7228317434656998;0.9986908950068744;271.3298262538026
3317;x1, x1_squared, x2, x2_squared, x3, x4, x4_squared, x5;0.7380238723060057;0.9986633808697313;271.4097958802629
3534;x1, x2, x2_squared, x3, x4, x4_squared, x5, x6_squared;0.7384771354277969;0.9986625599746596;271.47119280903644
3394;x1, x1_squared, x2, x3, x4, x4_squared, x5, x6_squared;0.7385135654656751;0.998662493997003;271.4761258174655
4064;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x6, x6_squared;0.714642289648619;0.9987057267501948;272.1903910734582
4047;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x6, x6_squared;0.7148040065638867;0.9987054338681746;272.21301758505035
4018;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x6;0.7149356824629598;0.9987051953927915;272.23143714777996
3797;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5;0.7317591315335936;0.9986747268067353;272.55731919559753
3855;x1, x1_squared, x2, x3, x3_squared, x4, x4_squared, x5, x6_squared;0.7329613777104665;0.9986725494445935;272.7214797216879
3919;x1, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x6_squared;0.7337310957580638;0.9986711554248253;272.82643943644536
4034;x1, x1_squared, x2, x2_squared, x3, x4, x4_squared, x5, x6, x6_squared;0.7210600435568886;0.998694103694398;273.08441994096177
3819;x1, x1_squared, x2, x2_squared, x3, x4, x4_squared, x5, x6_squared;0.7367252855113725;0.9986657327122898;273.23368631974876
2119;x1_squared, x2, x3, x4, x4_squared, x5;0.7834008045519103;0.9985811996856413;273.3766235658553
2868;x1, x2, x3_squared, x4, x4_squared, x5, x6;0.7682954821083803;0.9986085566095899;273.429618890915
1887;x1, x2, x3_squared, x4, x4_squared, x5;0.7858722702326455;0.9985767236674086;273.6916060585537
3063;x1_squared, x2, x3, x4, x4_squared, x5, x6;0.7719574653759425;0.998601924470612;273.90512392708206
4085;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x6, x6_squared;0.7134257393721681;0.998707930018183;274.0200139561199
3042;x1_squared, x2, x3, x3_squared, x4, x4_squared, x5;0.7744278150139009;0.9985974504736203;274.22462408926503
4019;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x6_squared;0.7315014034857825;0.9986751935724485;274.5220926526398
