Variables;MSE_Val;R2_Val;AIC_Val;BIC_Val
('x3', 'x4', 'x1^2', 'x3^2');24.042883833085714;0.9606378592298344;73.59678124502696;78.57544261279692
('x1', 'x3', 'x4', 'x3^2');24.454843849675534;0.9599634131743086;73.93656617520732;78.91522754297728
('x3', 'x4', 'x1^2', 'x3^2', 'x6^2');22.404853329548747;0.9633195835900926;74.1855520377982;80.15994567912216
('x1', 'x3', 'x4', 'x3^2', 'x6^2');22.87604795884733;0.9625481607667177;74.60180845041711;80.57620209174105
('x1', 'x2', 'x3', 'x4', 'x3^2');23.163878372686476;0.9620769352121574;74.85188197290992;80.82627561423388
('x1', 'x3', 'x4', 'x2^2', 'x3^2');23.192155329680013;0.9620306411997811;74.87628178302512;80.85067542434906
('x1', 'x2', 'x3', 'x4', 'x3^2', 'x6^2');21.10052150201474;0.965454988534143;74.98595511823775;81.9560810331157
('x2', 'x3', 'x4', 'x1^2', 'x3^2');23.36154896260536;0.9617533160639502;75.02182928184871;80.99622292317265
('x3', 'x4', 'x1^2', 'x2^2', 'x3^2');23.38963772707703;0.9617073301535715;75.04586184216673;81.02025548349067
('x1', 'x3', 'x4', 'x2^2', 'x3^2', 'x6^2');21.24434828912918;0.9652195205145735;75.12181794263043;82.09194385750837
('x2', 'x3', 'x4', 'x1^2', 'x3^2', 'x6^2');21.349878168959453;0.9650467508079869;75.2209206657286;82.19104658060654
('x3', 'x4', 'x1^2', 'x2^2', 'x3^2', 'x6^2');21.448146902524122;0.9648858687877295;75.31276500302698;82.28289091790492
('x3', 'x4', 'x1^2', 'x3^2', 'x4^2');23.88409816125426;0.9608978173950156;75.46425777186319;81.43865141318713
('x3', 'x4', 'x5', 'x1^2', 'x3^2');23.903970731499125;0.9608652827409835;75.48089169062226;81.45528533194621
('x3', 'x4', 'x1^2', 'x3^2', 'x4^2', 'x6^2');21.75683601992634;0.9643804941172965;75.59856015839193;82.56868607326986
('x3', 'x1^2', 'x3^2', 'x4^2');26.61739759328929;0.9564229583158096;75.63130093708057;80.60996230485053
('x1', 'x3', 'x4', 'x3^2', 'x4^2');24.236847220518285;0.9603203093796008;75.75748175163541;81.73187539295935
('x1', 'x3', 'x4', 'x5', 'x3^2');24.352730030713;0.9601305902294608;75.85287918990178;81.82727283122573
('x3', 'x4', 'x5', 'x1^2', 'x3^2', 'x6^2');22.097517076219198;0.9638227434003432;75.90930505439371;82.87943096927165
('x1', 'x3', 'x4', 'x3^2', 'x4^2', 'x6^2');22.11947890447155;0.9637867882885838;75.92917237425226;82.8992982891302
('x3', 'x4', 'x1^2', 'x2^2', 'x3^2', 'x5^2');22.121340140916804;0.9637837411395199;75.9308551970268;82.90098111190474
('x1', 'x3', 'x3^2', 'x4^2');27.020881995061387;0.9557623882306494;75.9321994860715;80.91086085384146
('x3', 'x4', 'x6', 'x1^2', 'x3^2');24.49008947646926;0.9599057103075053;75.965370490989;81.93976413231294
('x2', 'x3', 'x4', 'x1^2', 'x3^2', 'x5^2');22.314679035633194;0.963467213686199;76.10489429263511;83.07502020751305
('x1', 'x3', 'x4', 'x2^2', 'x3^2', 'x5^2');22.36402596553328;0.9633864246754137;76.14907368410555;83.11919959898349
('x1', 'x2', 'x3', 'x4', 'x3^2', 'x4^2', 'x6^2');20.289844943903415;0.966782198906284;76.20241023625269;84.16826842468461
('x3', 'x4', 'x6', 'x1^2', 'x3^2', 'x6^2');22.49448724332824;0.9631728381848217;76.26540535565084;83.23553127052878
('x1', 'x3', 'x4', 'x6', 'x3^2');24.95108493968418;0.9591509851903585;76.33834611617164;82.31273975749558
('x1', 'x2', 'x3', 'x4', 'x3^2', 'x5^2');22.591213217797655;0.9630144819140171;76.35122070009874;83.32134661497666
('x1', 'x3', 'x4', 'x2^2', 'x3^2', 'x4^2', 'x6^2');20.485493347783397;0.9664618904080005;76.39433988152685;84.36019806995877
('x3', 'x4', 'x1^2', 'x2^2', 'x3^2', 'x5^2', 'x6^2');20.495276252400473;0.9664458741900063;76.40388865759752;84.36974684602946
('x2', 'x3', 'x4', 'x1^2', 'x3^2', 'x5^2', 'x6^2');20.521511380840455;0.966402922985569;76.42947343254605;84.39533162097797
('x1', 'x2', 'x3', 'x4', 'x5', 'x3^2', 'x6^2');20.557948818556213;0.9663432689289829;76.46495339951234;84.43081158794426
('x1', 'x2', 'x3', 'x4', 'x5', 'x3^2');22.732236785114075;0.9627836032246236;76.47568079518075;83.44580671005869
('x1', 'x3', 'x4', 'x5', 'x3^2', 'x6^2');22.74772733883623;0.9627582426497254;76.4893048642578;83.45943077913574
('x1', 'x3', 'x4', 'x1^2', 'x3^2');25.1809076173221;0.958774727805755;76.52172146268532;82.49611510400926
('x1', 'x3', 'x4', 'x5', 'x2^2', 'x3^2');22.790369823401598;0.9626884299146182;76.5267614113572;83.49688732623514
('x1', 'x3', 'x4', 'x2^2', 'x3^2', 'x5^2', 'x6^2');20.63601655692702;0.9662154592482186;76.54075851428539;84.50661670271731
('x1', 'x2', 'x3', 'x4', 'x3^2', 'x5^2', 'x6^2');20.636977236741362;0.9662138864579348;76.54168956359992;84.50754775203184
('x1', 'x2', 'x3', 'x4', 'x3^2', 'x4^2');22.810919977302476;0.9626547859451048;76.5447873535021;83.51491326838004
('x2', 'x3', 'x4', 'x1^2', 'x3^2', 'x4^2', 'x6^2');20.644066002016785;0.9662022809875347;76.54855834867794;84.51441653710988
('x1', 'x3', 'x4', 'x2^2', 'x3^2', 'x4^2');22.89517439214964;0.9625168476611308;76.61852326241744;83.58864917729538
('x1', 'x3', 'x4', 'x6', 'x3^2', 'x6^2');22.902469487492986;0.962504904394598;76.62489485255796;83.59502076743588
('x1', 'x3', 'x4', 'x5', 'x2^2', 'x3^2', 'x6^2');20.761222685461753;0.966010476298133;76.66173905560443;84.62759724403635
('x3', 'x4', 'x1^2', 'x2^2', 'x3^2', 'x4^2', 'x6^2');20.794127807149387;0.9659566052217297;76.69341259768728;84.65927078611921
('x2', 'x3', 'x4', 'x5', 'x1^2', 'x3^2', 'x6^2');20.805065035096966;0.9659386991872831;76.70392936731892;84.66978755575084
('x3', 'x4', 'x1^2', 'x3^2', 'x5^2', 'x6^2');23.02096865761959;0.9623109018345035;76.72810962733443;83.69823554221237
('x2', 'x3', 'x4', 'x5', 'x1^2', 'x3^2');23.021480890425288;0.9623100632254604;76.72855463650379;83.69868055138173
('x3', 'x4', 'x5', 'x1^2', 'x2^2', 'x3^2');23.031814585763385;0.9622931452727973;76.73753005978648;83.7076559746644
('x2', 'x3', 'x4', 'x1^2', 'x3^2', 'x4^2');23.062511151430517;0.9622428899645182;76.76416810662982;83.73429402150776
('x3', 'x4', 'x5', 'x1^2', 'x2^2', 'x3^2', 'x6^2');20.902795133855694;0.9657786990004699;76.7976577698114;84.76351595824332
('x3', 'x4', 'x1^2', 'x3^2', 'x5^2');25.571702035878467;0.9581349333026413;76.82972701737518;82.80412065869912
('x1', 'x2', 'x3', 'x3^2', 'x4^2');25.579672170906402;0.9581218848855252;76.83595960464464;82.81035324596859
('x3', 'x4', 'x1^2', 'x2^2', 'x3^2', 'x4^2');23.150465224773008;0.96209889473332;76.84029752865649;83.81042344353443
('x3', 'x1^2', 'x3^2', 'x4^2', 'x6^2');25.587255015823946;0.9581094705257855;76.84188753144421;82.81628117276816
('x1', 'x3', 'x2^2', 'x3^2', 'x4^2');25.655341450799483;0.9579980018743272;76.89503587265912;82.86942951398306
('x2', 'x3', 'x1^2', 'x3^2', 'x4^2');25.793883470826;0.9577711858845014;77.00274778093438;82.97714142225833
('x3', 'x1^2', 'x2^2', 'x3^2', 'x4^2');25.87146680574394;0.9576441692515691;77.06281387383291;83.03720751515685
('x3', 'x4', 'x5', 'x1^2', 'x3^2', 'x4^2', 'x6^2');21.237129992624382;0.9652313380488224;77.11502128972077;85.0808794781527
('x2', 'x3', 'x4', 'x1^2', 'x2^2', 'x3^2');23.540042727237932;0.9614610925212654;77.1740583384261;84.14418425330403
('x1', 'x3', 'x3^2', 'x4^2', 'x6^2');26.082662919328847;0.9572984066046774;77.22541675296992;83.19981039429386
('x1', 'x2', 'x3', 'x4', 'x2^2', 'x3^2');23.62001326465052;0.9613301676466558;77.24188744709203;84.21201336196997
('x1', 'x2', 'x3', 'x4', 'x2^2', 'x3^2', 'x6^2');21.382396602105565;0.9649935128040931;77.25135989658853;85.21721808502045
('x3', 'x4', 'x5', 'x1^2', 'x3^2', 'x4^2');23.645526424689564;0.9612883984228006;77.2634787905398;84.23360470541775
('x2', 'x3', 'x4', 'x1^2', 'x2^2', 'x3^2', 'x6^2');21.42087268500081;0.9649305211512731;77.28731611572726;85.25317430415919
('x1', 'x2', 'x3', 'x4', 'x5', 'x3^2', 'x4^2', 'x6^2');19.413163186754154;0.968217470605599;77.31902701526685;86.28061747725278
